Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR
184,Sky of Ice,Sabaa Tahir,Fiction,Middle Grade,Kindle Edition,8.69,4.1,614,14,Convergent Books,2016,978-0-36201-373-2,2715
185,Between Garden,Matthew Walker,Non-Fiction,Memoir,Hardcover,27.35,4.3,969,14,WaterBrook,2021,978-5-82368-155-0,6462
186,The Earth of Fire,John Grisham,Fiction,Crime / Detective,Hardcover,21.89,4,7220,10,Tor Books,2023,978-2-86544-966-4,418
187,Plan Saga,Brent Weeks,Fiction,Space Opera,Hardcover,27.21,4.6,6809,4,Crown,2020,978-5-53393-469-4,2163
188,The Beauty and Bone,Nassim Taleb,Non-Fiction,Memoir,Paperback,13.85,4.7,4833,2,NavPress,2026,978-5-77411-922-8,4026
189,Where Ice,Peter F. Hamilton,Fiction,Climate Fiction,Hardcover,18.34,4,12346,26,Macmillan Publishers,2021,978-2-13113-570-5,688
190,Soul Unleashed,Morgan Housel,Non-Fiction,Self-Help,Paperback,10.05,4.3,296,22,Macmillan Publishers,2024,978-9-15965-817-1,3310
191,The Map,Robin Hobb,Fiction,Space Opera,Kindle Edition,11.16,4.5,10588,6,Thomas Nelson,2019,978-5-11461-666-8,1540
192,The Star Unleashed,Susanna Clarke,Fiction,Dark Romance,Paperback,14.54,4.2,4340,8,Convergent Books,2016,978-9-17128-971-8,4162
193,Found Hope,Kelly Link,Fiction,Middle Grade,Paperback,10.73,4.2,11003,11,Ace,2024,978-9-84299-473-5,3894
194,A Town,Anne McCaffrey,Fiction,Graphic Novel,Hardcover,19.28,4.4,10138,4,Tor Books,2025,978-8-35746-369-1,6347
195,House and Lightning,Mary Karr,Non-Fiction,Psychology / Health,Paperback,15.94,4.4,7813,18,Harriman House,2022,978-5-75820-110-3,5420
196,Knight of Glass,Nicholas Sparks,Fiction,Fantasy,Paperback,9.38,4.2,3587,18,Park Row,2026,978-6-71561-565-0,718
197,Burning Deal,Cassandra Clare,Fiction,Paranormal Romance,Board Book,9.55,4,5853,17,Workman Publishing,2025,978-0-75776-242-7,1750
198,The Sea Chronicles,Patricia A. McKillip,Fiction,YA Dystopian,Hardcover,23.22,4.7,9879,7,Lioncrest Publishing,2024,978-0-41938-144-2,5094
199,Across King,Terry Pratchett,Fiction,Historical Fiction,Hardcover,29.9,4.5,13804,15,Algonquin Books,2023,978-2-91685-775-8,2564
200,The Land Reckoning,Trevor Noah,Non-Fiction,Politics / Society,Kindle Edition,9.44,4.3,3106,17,Workman Publishing,2026,978-0-79655-615-1,1163
201,The Window Method,Viola Davis,Non-Fiction,Parenting,Paperback,16.23,4.8,9639,5,Viking,2021,978-7-40475-979-1,2722
202,The Clock System,Tara Westover,Non-Fiction,Self-Help,Paperback,10.38,4.1,10875,20,Anchor Books,2019,978-6-84012-474-9,2661
203,The Game of Stars,Michael Connelly,Fiction,YA Dystopian,Paperback,16.04,4.5,8528,14,Vintage,2025,978-9-99727-823-0,1722
204,The Empire and Bone,Mark Manson,Non-Fiction,Productivity,Kindle Edition,12.37,4.4,6764,21,Hay House,2024,978-9-17531-892-2,5653
205,The Clock Awakening,Ursula K. Le Guin,Fiction,Urban Fantasy,Paperback,10.41,4.8,5985,23,Algonquin Books,2021,978-3-77861-115-1,1148
206,Spy Fallen,Ben Greenfield,Non-Fiction,History,Paperback,9.64,4.4,5021,12,Putnam,2026,978-4-80504-932-9,2461
207,King of Roses,Carol Dweck,Non-Fiction,Memoir,Hardcover,19.98,4.1,8662,19,Viking,2010,978-3-47655-195-6,5932
208,Voice Approach,Dean Koontz,Fiction,Horror,Kindle Edition,11.84,5,3587,9,Doubleday,2018,978-9-56665-259-1,1398
209,Home Code,Walter Isaacson,Non-Fiction,Politics / Society,Paperback,15.74,4.6,7133,17,HarperCollins,2026,978-8-55519-503-2,4163
210,Strength Framework,Bryan Johnson,Non-Fiction,Creativity / Art,Paperback,13.23,4.6,10244,12,"Little, Brown",2020,978-6-37594-529-5,3410
211,Game Theory,John Grisham,Fiction,Dark Romance,Paperback,16.24,4.5,14835,29,Anchor Books,2024,978-5-73782-407-4,5027
212,The Choice Legacy,Britney Spears,Non-Fiction,Psychology / Health,Hardcover,29.1,4.7,4422,13,Bloomsbury Publishing,2011,978-5-99074-720-3,5149
213,Broken Power,Seth Godin,Non-Fiction,Cooking / Food,Audiobook,27.8,4.6,10232,20,Macmillan Publishers,2021,978-1-31233-451-3,2994
214,River Rising,James Patterson,Fiction,YA Romance,Paperback,11.25,4.3,12387,24,Crown,2025,978-2-62041-205-1,950
215,Window Unbound,Stephen King,Fiction,Graphic Novel,Paperback,11.55,4.3,13938,7,Convergent Books,2012,978-5-52624-984-7,4257
216,Sea Revisited,Various,Non-Fiction,Business / Leadership,Hardcover,27.45,4.3,7439,11,Viking,2020,978-2-49789-110-0,4719
217,The Fear Saga,Daniel Pink,Non-Fiction,Productivity,Kindle Edition,8.92,4.6,7361,14,Zondervan,2018,978-6-59592-325-4,1082
218,Always Weakness,Nnedi Ofofor,Fiction,YA Dystopian,Hardcover,22.88,4.9,11676,21,Grand Central Publishing,2022,978-0-29942-150-8,617
219,The Shadow and Bone,Trevor Noah,Non-Fiction,Personal Finance,Paperback,16.19,4.7,13166,3,IVP Books,2020,978-2-17345-372-6,1022
220,Home and Thunder,Simon Sinek,Non-Fiction,Cooking / Food,Hardcover,29.76,4.4,7946,14,Sourcebooks Landmark,2024,978-5-30789-744-0,6540
221,Fire City,James Clear,Non-Fiction,Self-Help,Paperback,11.47,4.7,346,3,Howard Books,2023,978-7-88146-258-5,6756
222,Faith of Fire,Dav Pilkey,Fiction,Space Opera,Board Book,13.51,4.7,12597,13,HarperOne,2025,978-3-12798-805-6,3378
223,Court Revealed,Gloria Steinem,Non-Fiction,Self-Help,Paperback,16.47,4.7,1328,18,Hay House,2017,978-4-80989-475-7,451
224,Iron Heart,Erik Larson,Non-Fiction,Biography,Paperback,14.76,4.2,2009,5,Macmillan Publishers,2022,978-0-27009-282-0,2103
225,The Star Undone,Ursula K. Le Guin,Fiction,Climate Fiction,Hardcover,28.56,4.8,1194,13,Lioncrest Publishing,2023,978-5-17641-943-9,2627
226,The Captain of Glass,Robert Sapolsky,Non-Fiction,Business / Finance,Hardcover,29.31,4.6,9349,25,Baker Books,2023,978-1-93705-690-5,5977
227,Faith Revealed,Thich Nhat Hanh,Non-Fiction,Self-Help,Board Book,10.26,4.1,7254,28,Workman Publishing,2024,978-3-83812-658-3,3526
228,Earth of Glass,Gillian Flynn,Fiction,Psychological Thriller,Board Book,9.49,4.7,5359,2,Howard Books,2025,978-4-82569-623-8,5130
229,Map Reclaimed,Brandon Sanderson,Fiction,Graphic Novel,Hardcover,24.39,4.4,5519,27,"Little, Brown",2022,978-9-22499-709-4,764
230,Map Chronicles,Paula Hawkins,Fiction,Science Fiction,Hardcover,21.14,4.5,9455,6,Howard Books,2020,978-3-30079-151-6,4110
231,The Clock Saga,Peter Attia,Non-Fiction,Gift / Journal,Hardcover,20.4,4.2,11633,6,St. Martin's Press,2025,978-8-35966-599-6,5805
232,When Hate,Bob Woodward,Non-Fiction,Psychology / Health,Paperback,12.09,4.6,10938,2,Ballantine Books,2025,978-5-90769-941-7,5569
233,Court Reclaimed,Nassim Taleb,Non-Fiction,Personal Finance,Paperback,13.23,4.2,3671,8,IVP Books,2023,978-4-81932-594-9,6445
234,House of Glass,Andy Weir,Fiction,Psychological Thriller,Paperback,11.43,4.8,14160,23,Scholastic Press,2020,978-0-48337-988-6,2361
235,First Detective,Nora Roberts,Fiction,Contemporary Romance,Audiobook,21.09,4,501,13,Flatiron Books,2024,978-4-40959-613-4,7121
236,Beneath Sea,Arianna Huffington,Non-Fiction,Business / Finance,Audiobook,28.72,4.4,7037,9,Plata Publishing,2023,978-4-89346-437-7,4913
237,Game Unbound,Matthew Stover,Fiction,Fantasy,Hardcover,26.34,4.6,2584,25,Grand Central Publishing,2012,978-6-63903-410-7,6582
238,The Storm and Bone,Suzanne Collins,Fiction,Romantasy,Paperback,16.01,4.8,2396,18,St. Martin's Press,2025,978-5-34114-972-6,4501
239,The Map Reckoning,Victoria Aveyard,Fiction,Crime / Detective,Audiobook,24.79,4.3,4243,15,HarperCollins,2021,978-9-59856-837-5,3706
240,Weakness Code,Mary Karr,Non-Fiction,Health / Longevity,Board Book,8.26,4.6,6547,18,Simon & Schuster,2025,978-3-48165-550-6,2974
241,Found Choice,Brent Weeks,Fiction,YA Dystopian,Kindle Edition,12.43,4.4,6975,12,Atria Books,2022,978-7-87373-829-3,4206
242,Game Method,Bessel van der Kolk,Non-Fiction,Biography,Paperback,12.42,4.3,12787,7,Riverhead Books,2026,978-2-31249-989-2,1949
243,The Kingdom Forever Changed,Cinda Williams Chima,Fiction,Psychological Thriller,Hardcover,23.47,4.5,8284,9,Convergent Books,2018,978-7-69472-519-7,1136
244,Against Message,Taylor Jenkins Reid,Fiction,Dark Romance,Hardcover,27.88,4.1,5089,12,Simon & Schuster,2026,978-1-64651-282-2,5993
245,Saving Deal,Jack Reacher,Fiction,Fantasy,Hardcover,24.15,4.4,11580,29,Scribner,2019,978-6-78766-314-3,5503
246,Beyond World,Rick Warren,Non-Fiction,Biography,Hardcover,26.47,4.5,8354,17,Chronicle Books,2025,978-3-48074-298-0,1460
247,Hidden King,Jodi Picoult,Fiction,Middle Grade,Kindle Edition,6.76,4.2,300,5,Entangled: Red Tower Books,2024,978-6-84569-730-0,7310
248,Princess of Roses,David Grann,Non-Fiction,History,Kindle Edition,6.68,4.4,12077,23,Anchor Books,2020,978-0-37297-691-5,7045
249,The Crown and Bone,Greg Bear,Fiction,Graphic Novel,Audiobook,29.19,4.4,14569,9,Sourcebooks Landmark,2020,978-3-78825-409-2,1417
250,The Home and Thunder,Jon Meacham,Non-Fiction,Business / Finance,Kindle Edition,5.28,4.5,14483,5,Scribner,2025,978-2-36894-841-0,4263
251,Dark Empire,Charlotte McConaghy,Fiction,Romantasy,Kindle Edition,9.74,4.4,2397,5,NavPress,2023,978-7-97965-220-4,1725
252,The Sun Blueprint,Charlotte McConaghy,Fiction,Middle Grade,Paperback,9.63,4.6,2824,9,Tor Books,2021,978-0-71700-791-0,1371
253,Code Untold,Tim Ferriss,Non-Fiction,Gift / Journal,Paperback,16.21,4.4,2592,11,NavPress,2024,978-7-71675-337-3,1683
254,Soul Reborn,J.K. Rowling,Fiction,YA Dystopian,Hardcover,27.98,4.3,2362,13,Riverhead Books,2020,978-2-76577-205-6,7205
255,Map Approach,Patricia A. McKillip,Fiction,Cozy Mystery,Paperback,12.06,4.5,3616,10,Anchor Books,2025,978-3-32686-778-1,6566
256,Game of Stars,Daniel Kahneman,Non-Fiction,Productivity,Hardcover,24.74,4.1,3154,6,Convergent Books,2022,978-0-21866-322-2,5269
257,Wild Mirror,Virginia Evans,Fiction,Graphic Novel,Kindle Edition,10.11,4.9,2870,2,Chronicle Books,2023,978-8-62978-967-2,7497
258,The Weakness and Lightning,Viola Davis,Non-Fiction,Self-Help,Hardcover,22.65,4.1,1780,11,Tor Books,2017,978-3-82800-493-5,7396
259,The Map Approach,Bell Hooks,Non-Fiction,History,Audiobook,28.9,4.7,3772,9,HarperOne,2021,978-6-56570-331-2,3997
260,Sun Forever Changed,Emily St. John Mandel,Fiction,YA Dystopian,Hardcover,25.97,4.3,1213,12,IVP Books,2024,978-4-70940-629-1,4807
261,High Book,Jeffrey Mason,Non-Fiction,Politics / Society,Hardcover,21.3,4,2463,5,Howard Books,2017,978-9-49855-844-9,2655
262,The Ice Untold,Jodi Picoult,Fiction,Children's Picture Book,Paperback,11.52,5,2154,1,Workman Publishing,2025,978-2-87564-856-2,5923
263,The River Legacy,Demi Moore,Non-Fiction,History,Paperback,12.95,4.3,2876,1,IVP Books,2024,978-1-16884-271-7,3792
264,Always Faith,Viola Davis,Non-Fiction,Science / Nature,Hardcover,29.49,4.3,386,2,Rodale Books,2026,978-5-66595-725-4,3272
265,Voice Never Forgotten,Andy Weir,Fiction,Psychological Thriller,Paperback,9.87,4.6,1847,12,Gallery Books,2019,978-0-13106-734-1,995
266,Spy Reclaimed,Adam Grant,Non-Fiction,Cooking / Food,Hardcover,28.99,4.6,2314,13,Convergent Books,2021,978-5-43729-265-1,2803
267,Forest of Shadows,Octavia Butler,Fiction,Crime / Detective,Hardcover,18.86,4.4,920,15,Viking,2021,978-1-14569-174-1,5214
268,The Beast Theory,Publications International,Non-Fiction,Politics / Society,Hardcover,22.24,4.2,624,9,Hoover Ink,2018,978-7-25886-680-8,3476
269,A Letter,David Goggins,Non-Fiction,Creativity / Art,Board Book,12.62,4.3,924,11,"Little, Brown",2024,978-1-92941-548-3,1684
270,Hate of Roses,Rick Riordan,Fiction,Contemporary Romance,Paperback,16.08,4.6,400,7,Harmony,2016,978-8-70079-794-8,1760
271,Iron Captain,Paula Hawkins,Fiction,Science Fiction,Kindle Edition,4.87,4,573,14,Bloomsbury Publishing,2025,978-7-87984-918-9,2348
272,Beyond Code,Rick Rubin,Non-Fiction,Personal Finance,Paperback,10.26,4.1,3450,3,Vintage,2024,978-2-67496-349-9,877
273,Deal Undone,Jeffrey Mason,Non-Fiction,History,Hardcover,19.67,4.2,3425,4,Chronicle Books,2026,978-0-88154-284-7,5559
274,Against War,Ben Greenfield,Non-Fiction,Health / Longevity,Paperback,15.92,4.2,1754,5,Bloomsbury Publishing,2013,978-2-99816-964-7,4623
275,Knight Always Watching,Alan Dean Foster,Fiction,Science Fiction,Paperback,16.06,4.3,1977,12,Algonquin Books,2022,978-5-64927-303-5,2434
276,The Crown Fallen,Seth Godin,Non-Fiction,True Crime,Paperback,14.47,4.4,1508,7,Independently Published,2020,978-3-92840-467-4,2208
277,The Ocean Unbound,Paul Tremblay,Fiction,Middle Grade,Paperback,16.14,4.9,4785,9,Hachette Book Group,2025,978-6-78389-600-3,5400
278,Below Empire,Matt Haig,Fiction,Contemporary Romance,Board Book,13.12,4.2,4180,1,Harriman House,2021,978-7-22844-563-7,2526
279,Star Reclaimed,Greg Bear,Fiction,Cozy Mystery,Hardcover,24.4,3.8,3849,13,Zondervan,2016,978-6-34241-908-5,5692
280,Truth and Lightning,David Eddings,Fiction,Science Fiction,Audiobook,28.48,4.1,472,2,Independently Published,2021,978-9-15357-474-5,1995
281,The Villain of Roses,Ta-Nehisi Coates,Non-Fiction,Politics / Society,Paperback,9.56,4.2,4364,14,Zondervan,2016,978-8-98907-945-8,2956
282,The Soldier Framework,Tomi Adeyemi,Fiction,Children's Picture Book,Hardcover,23.44,4.6,1723,9,Penguin Books,2026,978-4-64596-798-8,1645
283,Game and Rain,Publications International,Non-Fiction,Self-Help,Hardcover,26.05,4.5,2541,10,Sourcebooks Landmark,2016,978-2-44079-332-7,3612
284,Secret Sky,Dean Koontz,Fiction,Cozy Mystery,Paperback,17.93,4.2,4756,3,Park Row,2021,978-2-36890-675-0,6020
285,Saving Garden,Cinda Williams Chima,Fiction,Dark Romance,Audiobook,18.11,4.7,4206,6,Hay House,2024,978-7-47988-872-9,6033
286,Rising Forest,Carol Dweck,Non-Fiction,Biography,Hardcover,18.19,4.3,500,10,Algonquin Books,2024,978-8-39116-900-4,2175
287,Garden Unleashed,Kim Stanley Robinson,Fiction,Dark Romance,Audiobook,22.38,4.3,2928,5,Vintage,2026,978-1-38271-845-7,6648
288,Sea and Bone,Rick Rubin,Non-Fiction,Personal Finance,Audiobook,26.8,4.5,3128,2,Rodale Books,2010,978-4-64331-279-8,4361
289,Silent City,Carol Dweck,Non-Fiction,Cooking / Food,Paperback,9.01,4.4,3921,2,Hay House,2024,978-6-33510-603-3,811
290,The Princess of Ice,Susanna Clarke,Fiction,Paranormal Romance,Hardcover,18.89,5,3826,15,Flatiron Books,2024,978-2-16932-379-5,4016
291,The Valley Method,Barack Obama,Non-Fiction,Self-Help,Kindle Edition,10.15,4.3,3019,2,Flatiron Books,2023,978-2-11690-240-8,2887
292,Sea Framework,Thich Nhat Hanh,Non-Fiction,Health / Longevity,Kindle Edition,11.21,4.8,3468,8,Bloomsbury Publishing,2026,978-2-12277-591-5,3136
293,House Awakening,V.E. Schwab,Fiction,Graphic Novel,Paperback,17.82,4,965,2,St. Martin's Press,2011,978-6-15572-301-1,854
294,Code Forever Changed,Martin Seligman,Non-Fiction,Productivity,Hardcover,19.59,4.6,2929,1,Baker Books,2015,978-4-85989-456-5,1903
295,The House Always Watching,Mary Kubica,Fiction,Psychological Thriller,Paperback,10.92,4,3052,12,HarperOne,2023,978-1-33704-954-5,3699
296,The Beauty Blueprint,Matthew Stover,Fiction,Middle Grade,Kindle Edition,4.73,4.4,4094,2,Independently Published,2021,978-9-50895-803-7,2442
297,Quiet City,Brené Brown,Non-Fiction,Business / Finance,Paperback,12.54,4.2,1432,2,Gallery Books,2020,978-5-36248-709-6,1599
298,Ice Reclaimed,Daniel Kahneman,Non-Fiction,Cooking / Food,Paperback,13.39,3.8,1940,11,Penguin Books,2026,978-1-16927-950-1,4676
299,The Desert of Fire,Publications International,Non-Fiction,Spirituality / Religion,Hardcover,24.04,4.5,194,13,Plata Publishing,2012,978-1-60283-560-5,7584
300,First City,Nassim Taleb,Non-Fiction,Spirituality / Religion,Hardcover,23.37,4.1,4586,11,St. Martin's Press,2023,978-7-83695-974-2,4750
301,Through Day,Robert Kiyosaki,Non-Fiction,Activity / Coloring,Kindle Edition,9.62,4.2,2977,7,Convergent Books,2020,978-3-42455-340-4,5456
302,Cold Heart,Rhonda Byrne,Non-Fiction,Gift / Journal,Audiobook,20.32,4.6,3897,10,Grand Central Publishing,2011,978-6-84757-499-5,5294
303,Saving Room,Adam Grant,Non-Fiction,Spirituality / Religion,Kindle Edition,8.81,4.4,4748,7,Chronicle Books,2025,978-1-85784-197-9,3365
304,Cold Lie,Viktor Frankl,Non-Fiction,Self-Help,Hardcover,20.26,4.5,4271,8,Vintage,2024,978-2-12438-742-8,7675
305,Fear Theory,Naomi Novik,Fiction,Urban Fantasy,Kindle Edition,10.88,4.5,577,11,Lioncrest Publishing,2018,978-4-47623-761-2,2710
306,Valley of Shadows,Ta-Nehisi Coates,Non-Fiction,True Crime,Hardcover,17.47,4.2,1355,5,Viking,2016,978-4-96333-663-2,5890
307,Warrior Reimagined,Tomi Adeyemi,Fiction,Urban Fantasy,Hardcover,23.49,4.7,4804,13,Viking,2026,978-7-21829-343-9,1615
308,Silent Sky,Michael Pollan,Non-Fiction,History,Audiobook,16.11,4.7,4420,6,Bloomsbury Publishing,2024,978-5-81531-533-7,6208
309,Below Fear,Jon Meacham,Non-Fiction,Memoir,Hardcover,26.1,4.7,4431,14,HarperOne,2018,978-6-11031-502-4,3082
310,The Mirror Reborn,Tara Westover,Non-Fiction,Parenting,Audiobook,21.64,4.2,3510,15,Scholastic Press,2026,978-2-44205-618-1,3502
311,Before Knight,Joyce Meyer,Non-Fiction,Self-Help,Paperback,10.41,3.7,1115,14,Lioncrest Publishing,2023,978-5-69177-589-2,2757
312,The Earth of Thorns,Matthew Stover,Fiction,Romantasy,Hardcover,25.14,4.3,778,8,Howard Books,2018,978-2-16525-510-9,4137
313,Soldier and Ash,Brian McClellan,Fiction,Climate Fiction,Audiobook,31.26,4.4,3179,3,Crown,2021,978-9-38254-943-4,6579
314,The Game Reimagined,Colleen Hoover,Fiction,Historical Fiction,Hardcover,28.32,4.8,3306,11,Hoover Ink,2018,978-6-88275-362-1,1408
315,Dark Warrior,Tim Ferriss,Non-Fiction,Psychology / Health,Board Book,11.91,4.2,4176,8,Independently Published,2026,978-2-21750-424-8,4176
316,When River,Isabel Wilkerson,Non-Fiction,Self-Help,Audiobook,21.3,4.3,4074,13,Vintage,2026,978-7-16975-293-2,1079
317,Book Never Forgotten,Bell Hooks,Non-Fiction,Spirituality / Religion,Hardcover,27.99,4.5,816,4,Atria Books,2026,978-2-76681-942-4,5248
318,Voice System,Peter F. Hamilton,Fiction,Middle Grade,Board Book,8.84,4.3,3110,10,Scholastic Press,2026,978-5-30155-129-1,4406
319,The Nurse Unleashed,Jeff Kinney,Fiction,Middle Grade,Kindle Edition,10.68,4.1,808,7,Doubleday,2019,978-6-21690-121-3,1972
320,Beyond Captain,Viktor Frankl,Non-Fiction,Politics / Society,Hardcover,28.5,4.3,3952,5,Plata Publishing,2023,978-1-65382-930-5,5668
321,The War Chronicles,Tana French,Fiction,Historical Fiction,Hardcover,18.02,4.5,1096,11,Doubleday,2026,978-8-66063-402-9,1032
322,The Desert Framework,Morgan Housel,Non-Fiction,Politics / Society,Paperback,14.94,4.2,1520,13,Harriman House,2017,978-0-20917-526-4,3215
323,Hero Theory,Freida McFadden,Fiction,Romantasy,Paperback,9.11,4.2,3368,14,Baker Books,2024,978-9-73795-410-9,7307
324,The Court and Thunder,Patricia A. McKillip,Fiction,Climate Fiction,Hardcover,25.44,4.2,3619,14,Anchor Books,2024,978-3-21284-408-7,1861
325,The House Awakening,Mary Karr,Non-Fiction,Gift / Journal,Paperback,9.06,4.1,3455,14,Algonquin Books,2022,978-9-82653-397-0,4643
326,The Hate Chronicles,Jeffrey Mason,Non-Fiction,History,Paperback,14.59,4.1,2890,8,Penguin Books,2024,978-2-47750-843-3,4496
327,The Court Revisited,Martin Seligman,Non-Fiction,Biography,Paperback,15.73,4.3,1684,3,Scholastic Press,2023,978-6-74713-410-3,2369
328,House Reckoning,Daniel Pink,Non-Fiction,Biography,Paperback,11.01,4.3,2162,6,NavPress,2025,978-0-83010-373-2,7647
329,World and Bone,Anthony Ryan,Fiction,Literary Fiction,Hardcover,28.31,4.5,2443,12,Putnam,2021,978-7-23014-257-5,3399
330,Desert Saga,James Dashner,Fiction,Children's Picture Book,Kindle Edition,7.73,4.3,2060,3,Scribner,2025,978-6-39908-241-6,4046
331,Mirror Undone,Jonathan Haidt,Non-Fiction,Celebrity Memoir,Hardcover,22.1,5,1286,15,Rodale Books,2023,978-8-48761-529-6,7918
332,Land Saga,Robin DiAngelo,Non-Fiction,Biography,Hardcover,28.53,4.5,3363,13,Sourcebooks Landmark,2018,978-1-14845-650-5,3858
333,The Princess and Thunder,Rebecca Yarros,Fiction,Romantasy,Audiobook,25.79,4.4,2539,12,Putnam,2021,978-1-17857-961-5,2793
334,The Hero Code,Doris Kearns Goodwin,Non-Fiction,Business / Leadership,Paperback,16.05,4.9,4742,11,Hoover Ink,2016,978-8-42457-207-5,4898
335,Storm and Rain,Morgan Rhodes,Fiction,Climate Fiction,Paperback,15.08,4.1,3284,14,"Little, Brown",2019,978-6-67682-805-7,6664
336,Falling Earth,Mark Manson,Non-Fiction,Parenting,Kindle Edition,12.49,4.6,3075,15,Workman Publishing,2026,978-6-24461-223-5,5355
337,Loud King,Trevor Noah,Non-Fiction,Activity / Coloring,Paperback,17.04,4.5,4054,1,Flatiron Books,2016,978-1-15856-527-7,5368
338,Fire Throne,Kelly Link,Fiction,Historical Fiction,Hardcover,22.32,4.3,1957,15,Anchor Books,2021,978-0-97876-553-4,5967
339,Before War,Ben Greenfield,Non-Fiction,Parenting,Audiobook,17.4,4.5,205,5,Doubleday,2025,978-9-68226-186-8,5649
340,Between Knight,Brandon Sanderson,Fiction,Paranormal Romance,Paperback,9.88,4.3,1427,5,Viking,2016,978-1-30214-414-6,6239
341,Chasing Teacher,Cassandra Clare,Fiction,Paranormal Romance,Audiobook,32.98,4.6,4940,10,Putnam,2018,978-8-60469-217-4,1178
342,The Kingdom Code,Tim Ferriss,Non-Fiction,Creativity / Art,Paperback,12.65,4.5,737,14,Crown,2024,978-2-58929-653-2,7090
343,The Warrior Reimagined,Rhonda Byrne,Non-Fiction,Activity / Coloring,Paperback,10.44,4.3,784,7,Tor Books,2024,978-8-46629-999-6,2413
344,The Moon of Roses,Octavia Butler,Fiction,YA Romance,Audiobook,27.17,4.4,85,15,Atria Books,2010,978-6-82848-813-7,6934
345,Cold Hero,Tamora Pierce,Fiction,YA Dystopian,Paperback,10.73,4.8,2353,11,Flatiron Books,2026,978-3-21792-935-9,5811
346,First Key,Jonathan Haidt,Non-Fiction,Spirituality / Religion,Hardcover,25.57,4.4,4684,11,Riverhead Books,2024,978-2-18566-702-2,6803
347,Door Framework,Peter Attia,Non-Fiction,True Crime,Audiobook,21.45,4.5,1047,11,"Little, Brown",2022,978-5-77797-877-0,7934
348,Last King,Michael J. Sullivan,Fiction,Urban Fantasy,Paperback,11.79,4.2,842,1,Penguin Books,2022,978-9-92090-442-4,2720
349,Where Clock,Taylor Jenkins Reid,Fiction,Science Fiction,Paperback,17,4.2,557,15,Simon & Schuster,2025,978-4-90050-741-6,1236
350,The Message,Ta-Nehisi Coates,Non-Fiction,Cooking / Food,Audiobook,27.37,4,2832,11,Penguin Books,2026,978-7-77792-436-9,2276
351,The Villain of Stars,Robin Hobb,Fiction,Urban Fantasy,Kindle Edition,4.53,4.3,2980,5,Anchor Books,2023,978-2-29321-580-4,5644
352,The Queen Undone,Nnedi Ofofor,Fiction,Horror,Audiobook,30.7,4.6,2847,4,Howard Books,2024,978-7-88612-809-5,7683
353,Secret Throne,Tamora Pierce,Fiction,Space Opera,Hardcover,20.1,4.3,2765,13,Crown,2025,978-6-34149-945-0,3678
354,Always Court,Liane Moriarty,Fiction,Horror,Paperback,16.96,3.8,1477,6,Doubleday,2025,978-2-35688-122-2,7612
355,The Message Blueprint,Robert Asprin,Fiction,Cozy Mystery,Board Book,14.97,4.8,585,2,Tor Books,2016,978-3-35124-645-6,6398
356,Deal Chronicles,David Eddings,Fiction,YA Romance,Board Book,14.19,4.1,1764,12,St. Martin's Press,2014,978-9-18503-271-8,3891
357,Map and Snow,David Sinclair,Non-Fiction,Parenting,Hardcover,25.29,4.5,1747,4,HarperOne,2026,978-3-61891-323-4,4195
358,A Ice,Emily St. John Mandel,Fiction,Space Opera,Paperback,13.6,4,2805,7,Plata Publishing,2022,978-6-58170-923-7,3313
359,Sea Legacy,Brad Thor,Fiction,Historical Fiction,Paperback,11.04,4.6,4523,4,WaterBrook,2020,978-5-42771-409-4,2279
360,Warrior and Bone,Rainbow Rowell,Fiction,Dark Romance,Paperback,15.5,4.6,1769,8,Algonquin Books,2018,978-8-71438-839-7,3510
361,The Crown and Lightning,John Grisham,Fiction,Graphic Novel,Paperback,16.28,4.5,3483,7,Harriman House,2024,978-8-49274-433-9,912
362,Iron Day,Daniel Kahneman,Non-Fiction,Parenting,Paperback,17.65,4.2,2545,2,WaterBrook,2017,978-8-33283-132-9,4726
363,Hunter Blueprint,James Clear,Non-Fiction,Business / Finance,Paperback,16.73,4.3,957,3,St. Martin's Press,2023,978-1-60986-986-3,1790
364,The Ice Method,Rick Rubin,Non-Fiction,Science / Nature,Kindle Edition,9.43,4.5,2072,9,Riverhead Books,2020,978-7-70319-573-9,1048
365,Within Knight,Lisa Jewell,Fiction,Cozy Mystery,Audiobook,25.74,4.4,1829,15,IVP Books,2022,978-8-25889-477-1,6918
366,The Moon Rising,Viola Davis,Non-Fiction,Cooking / Food,Paperback,12.58,4.3,1642,7,Viking,2012,978-1-27888-434-7,4703
367,The Game Saga,Leigh Bardugo,Fiction,Middle Grade,Hardcover,22.07,4.8,2288,3,Atria Books,2021,978-3-14514-791-8,2504
368,Fierce House,Matthew Walker,Non-Fiction,Psychology / Health,Paperback,9.13,4.6,278,1,Gallery Books,2020,978-1-38910-198-2,6667
369,The War of Roses,Terry Pratchett,Fiction,Space Opera,Paperback,11.9,4.8,148,7,Knopf,2018,978-1-96240-934-4,6062
370,The Game Always Watching,Gary Vaynerchuk,Non-Fiction,Memoir,Paperback,14.71,4.4,2654,14,Macmillan Publishers,2024,978-5-12313-723-9,4417
